isolate	fc	logfc	fc_0.1	fc_0.2	fc_0.33	fc_0.66	fc_0.8	fc_0.9
RV100	0.503401360544218	-0.9902189792074136	1	1	1	1	0	0
RV101	1.00680272108844	0.009781020792592077	1	1	1	1	1	0
RV104	0.965986394557823	-0.049925225331682546	1	1	1	1	1	0
RV105	1.3265306122449	0.4076579689132486	1	1	1	1	1	1
RV106	1.0952380952381	0.13124453327825886	1	1	1	1	1	1
RV109	0.183673469387755	-2.4447848426728966	1	1	1	0	0	0
RV110	0.158503401360544	-2.6574142950694486	1	1	1	0	0	0
RV111	0.263598326359833	-1.9235868844808302	1	1	1	0	0	0
RV113	0.315202231520223	-1.6656503462867178	1	1	1	0	0	0
RV114	0.150627615062762	-2.730941806538431	1	1	1	0	0	0
RV115	0.306834030683403	-1.7044695951772455	1	1	1	0	0	0
RV116	1.41143654114365	0.49716426599240127	1	1	1	1	1	1
RV118	0.503486750348675	-0.989974281814734	1	1	1	1	0	0
RV119	0.104602510460251	-3.2570106182060243	1	1	0	0	0	0
RV121	0.422594142259414	-1.2426553252289545	1	1	1	1	0	0
RV124	0.196652719665272	-2.346277956303111	1	1	1	0	0	0
RV127	0.344490934449093	-1.5374620771172287	1	1	1	0	0	0
RV128	0.350069735006974	-1.5142857547511306	1	1	1	0	0	0
RV129	0.355648535564854	-1.4914758718430452	1	1	1	0	0	0
RV130	1.51882845188285	0.6029589300150068	1	1	1	1	1	1
RV131	0.368200836820084	-1.44143518934345	1	1	1	0	0	0
RV132	0.055509065550907	-4.171132783045607	1	0	0	0	0	0
RV134	0.504881450488145	-0.9859834216186995	1	1	1	1	0	0
RV135	0.422594142259414	-1.2426553252289545	1	1	1	1	0	0
RV136	0.046861924686193	-4.415439980810491	1	0	0	0	0	0
RV138	0.273361227336123	-1.871119464586695	1	1	1	0	0	0
RV140	0.161645746164575	-2.629092552582792	1	1	1	0	0	0
RV141	0.076569037656904	-3.707095064584064	1	0	0	0	0	0
RV143	0.475592747559275	-1.0722013796777314	1	1	1	1	0	0
RV144	5.67642956764296	2.5049837704517053	1	1	1	1	1	1
RV146	0.564853556485356	-0.824051210929917	1	1	1	1	1	0
RV147	0.436541143654114	-1.1958104617692875	1	1	1	1	0	0
RV148	0.301255230125523	-1.730941806538436	1	1	1	0	0	0
RV150	0.038912133891213	-4.683636091760094	0	0	0	0	0	0
RV151	0.320781032078103	-1.6403392577575304	1	1	1	0	0	0
RV152	0.252440725244072	-1.9859834216187022	1	1	1	0	0	0
RV153	0.326359832635983	-1.6154645891185013	1	1	1	0	0	0
RV154	0.019804741980474	-5.658010284084599	0	0	0	0	0	0
RV155	0.231520223152022	-2.110789877354982	1	1	1	0	0	0
RV156	0.202510460251046	-2.3039316655935167	1	1	1	0	0	0
RV158	0.042538354253836	-4.5550919711389986	0	0	0	0	0	0
RV159	0.126778242677824	-2.979620919395163	1	1	0	0	0	0
RV160	0.362622036262204	-1.4634614956734486	1	1	1	0	0	0
RV162	0.032357043235704	-4.94977640846171	0	0	0	0	0	0
RV163	0.147698744769874	-2.7592705295969355	1	1	0	0	0	0
RV164	0.081171548117155	-3.62288206068098	1	1	0	0	0	0
RV165	0.345885634588563	-1.5316329983150316	1	1	1	0	0	0
RV167	0.256624825662483	-1.9622673526448893	1	1	1	0	0	0
RV168	0.539748953974895	-0.8896395525574956	1	1	1	1	0	0
RV169	0.189679218967922	-2.398366467451565	1	1	1	0	0	0
RV170	0.179916317991632	-2.474602053278649	1	1	1	0	0	0
RV171	0.132496513249651	-2.9159737003709605	1	1	0	0	0	0
RV175	0.387726638772664	-1.366888235978397	1	1	1	1	0	0
RV176	0.117991631799163	-3.0832435504693194	1	1	0	0	0	0
RV177	0.122733612273361	-3.02639769006461	1	1	0	0	0	0
RV180	0.256624825662483	-1.9622673526448893	1	1	1	0	0	0
RV182	0.242677824267782	-2.042885812853179	1	1	1	0	0	0
RV183	0.104881450488145	-3.2531685519116302	1	1	0	0	0	0
RV184	0.155509065550907	-2.684929408781596	1	1	1	0	0	0
RV186	0.026917712691771	-5.215300366321201	0	0	0	0	0	0
RV187	0.16513249651325	-2.5983040379603146	1	1	1	0	0	0
RV191	0.036820083682008	-4.763363284230828	0	0	0	0	0	0
RV192	0.039191073919107	-4.673331083368356	0	0	0	0	0	0
RV196	0.460251046025105	-1.1195070944560876	1	1	1	1	0	0
RV197	0.175174337517434	-2.513136654697638	1	1	1	0	0	0
RV199	0.794979079497908	-0.3310111996498006	1	1	1	1	1	0
RV201	0.050209205020921	-4.315904307259578	1	0	0	0	0	0
RV203	0.101813110181311	-3.2960047498218876	1	1	0	0	0	0
RV205	0.233612273361227	-2.097812023356772	1	1	1	0	0	0
RV206	0.04560669456067	-4.454610578091168	1	0	0	0	0	0
RV208	0.158856345885635	-2.654205371881152	1	1	1	0	0	0
RV211	0.107252440725244	-3.2209176156274415	1	1	0	0	0	0
RV213	0.165969316596932	-2.5910115453939584	1	1	1	0	0	0
RV214	0.058437935843794	-4.096950969889905	1	0	0	0	0	0
RV215	0.039191073919107	-4.673331083368356	0	0	0	0	0	0
RV216	0.251046025104602	-1.9939762123722329	1	1	1	0	0	0
RV217	0.051743375174338	-4.272482026968451	1	0	0	0	0	0
RV219	0.274755927475593	-1.863777489245527	1	1	1	0	0	0
RV222	0.238493723849372	-2.067976793816009	1	1	1	0	0	0
RV224	0.128312412831241	-2.962267352644895	1	1	0	0	0	0
RV225	0.323570432357043	-1.6278483135743336	1	1	1	0	0	0
RV227	0.128312412831241	-2.962267352644895	1	1	0	0	0	0
RV228	0.019665271966527	-5.668206051190488	0	0	0	0	0	0
RV231	0.375174337517434	-1.4143669461452797	1	1	1	1	0	0
RV232	0.177126917712692	-2.497144621929737	1	1	1	0	0	0
RV235	0.232914923291492	-2.1021250162278546	1	1	1	0	0	0
RV236	0.280334728033473	-1.8347776175229753	1	1	1	0	0	0
RV239	0.031520223152022	-4.987578441174094	0	0	0	0	0	0
RV240	0.6702	-0.5773364083449783	1	1	1	1	1	0
RV241	0.33	-1.5994620704162712	1	1	1	0	0	0
RV243	0.28	-1.8365012677171204	1	1	1	0	0	0
RV244	1.048	0.0676387168753633	1	1	1	1	1	0
RV246	0.0526	-4.248793390257147	1	0	0	0	0	0
RV248	0.0774	-3.691522623405039	1	1	0	0	0	0
RV249	0.428	-1.22431729826094	1	1	1	1	0	0
RV250	0.272	-1.8783214434117474	1	1	1	0	0	0
